07:18:30.293 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.45ms aim=0.00ms block=
07:18:30.654 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.46ms nav=29.45ms aim=0.00ms block=
07:18:31.011 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.30ms nav=29.30ms aim=0.00ms block=
07:18:31.367 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.63ms nav=29.62ms aim=0.00ms block=
07:18:31.729 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=34.09ms nav=29.49ms aim=4.59ms block=
07:18:32.082 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.85ms nav=29.84ms aim=0.00ms block=
07:18:32.462 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:18:32.819 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.82ms nav=29.81ms aim=0.00ms block=
07:18:33.171 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.81ms nav=29.80ms aim=0.00ms block=
07:18:33.529 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.47ms nav=29.46ms aim=0.00ms block=
07:18:33.909 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.30ms nav=29.29ms aim=0.00ms block=
07:18:34.260 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:18:34.622 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.53ms nav=29.52ms aim=0.00ms block=
07:18:34.974 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.39ms nav=29.39ms aim=0.00ms block=
07:18:35.328 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.28ms nav=29.28ms aim=0.00ms block=
07:18:35.681 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.47ms nav=29.46ms aim=0.00ms block=
07:18:36.036 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:18:36.414 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.40ms nav=29.40ms aim=0.00ms block=
07:18:36.790 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.67ms nav=29.67ms aim=0.00ms block=
07:18:37.147 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:18:37.498 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.39ms nav=29.38ms aim=0.00ms block=
07:18:37.851 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:18:38.204 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.40ms nav=29.39ms aim=0.00ms block=
07:18:38.589 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=60.75ms nav=29.35ms aim=31.40ms block=
07:18:38.942 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=30.06ms nav=30.05ms aim=0.00ms block=
07:18:39.325 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.48ms nav=29.47ms aim=0.00ms block=
07:18:39.707 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.51ms nav=29.50ms aim=0.00ms block=
07:18:40.059 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.50ms nav=29.50ms aim=0.00ms block=
07:18:40.411 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.46ms nav=29.45ms aim=0.00ms block=
07:18:40.790 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.35ms nav=29.35ms aim=0.00ms block=
07:18:41.141 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=30.75ms nav=29.26ms aim=1.48ms block=
