06:29:42.580 total=0.25ms respawn=0.05ms interaction=0.19ms combat=0.01ms entities=15 projectiles=0
06:30:18.115 total=6.96ms respawn=1.13ms interaction=3.78ms combat=1.96ms entities=15 projectiles=0
06:30:20.122 total=1.01ms respawn=0.04ms interaction=0.96ms combat=0.01ms entities=15 projectiles=0
06:30:22.223 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:24.318 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:26.410 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:28.489 total=0.36ms respawn=0.04ms interaction=0.16ms combat=0.16ms entities=15 projectiles=1
06:30:30.571 total=0.44ms respawn=0.04ms interaction=0.16ms combat=0.24ms entities=15 projectiles=2
06:30:32.613 total=0.43ms respawn=0.04ms interaction=0.16ms combat=0.23ms entities=15 projectiles=2
06:30:34.667 total=0.20ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:36.723 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:38.778 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:40.816 total=0.33ms respawn=0.06ms interaction=0.25ms combat=0.02ms entities=15 projectiles=0
06:30:42.887 total=0.20ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:44.949 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:30:47.009 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:31:42.940 total=7.28ms respawn=1.23ms interaction=3.98ms combat=1.97ms entities=15 projectiles=0
06:31:44.953 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:31:47.055 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:31:49.150 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:31:51.250 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:31:53.278 total=0.40ms respawn=0.06ms interaction=0.16ms combat=0.18ms entities=15 projectiles=1
06:31:55.282 total=0.20ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:31:57.287 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:31:59.350 total=0.38ms respawn=0.05ms interaction=0.17ms combat=0.16ms entities=15 projectiles=1
06:32:01.353 total=1.43ms respawn=0.04ms interaction=0.16ms combat=1.23ms entities=15 projectiles=14
06:32:03.361 total=0.36ms respawn=0.05ms interaction=0.17ms combat=0.15ms entities=15 projectiles=1
06:32:05.373 total=1.20ms respawn=0.04ms interaction=0.16ms combat=1.00ms entities=15 projectiles=8
06:32:07.395 total=0.69ms respawn=0.04ms interaction=0.16ms combat=0.50ms entities=15 projectiles=5
06:32:09.407 total=0.51ms respawn=0.04ms interaction=0.15ms combat=0.32ms entities=15 projectiles=3
06:32:11.413 total=0.58ms respawn=0.05ms interaction=0.15ms combat=0.38ms entities=15 projectiles=1
06:33:31.256 total=8.80ms respawn=1.35ms interaction=5.08ms combat=2.24ms entities=15 projectiles=0
06:33:33.265 total=0.24ms respawn=0.05ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:33:35.324 total=0.38ms respawn=0.07ms interaction=0.29ms combat=0.02ms entities=15 projectiles=0
06:33:37.417 total=0.30ms respawn=0.05ms interaction=0.23ms combat=0.02ms entities=15 projectiles=0
06:33:39.509 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:33:41.549 total=0.26ms respawn=0.07ms interaction=0.17ms combat=0.02ms entities=15 projectiles=0
06:33:43.564 total=0.64ms respawn=0.07ms interaction=0.23ms combat=0.34ms entities=15 projectiles=2
06:33:45.582 total=0.26ms respawn=0.07ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:33:47.589 total=0.25ms respawn=0.06ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
