06:24:36.682 frame=13.25ms map=0.03ms/175458v/1draw facility=1.35ms/28416v/1draw unit=2.60ms/32616v/1draw projectile=0.03ms/324v/1draw flush=0.05ms overlay=8.98ms swap=0.05ms entities=15 projectiles=3
06:24:39.188 frame=13.07ms map=0.10ms/175458v/1draw facility=1.38ms/28416v/1draw unit=2.51ms/32616v/1draw projectile=0.03ms/324v/1draw flush=0.04ms overlay=8.73ms swap=0.04ms entities=15 projectiles=3
06:24:43.945 frame=20.53ms map=5.95ms/175458v/1draw facility=1.53ms/30012v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.12ms overlay=9.28ms swap=0.62ms entities=15 projectiles=0
06:24:46.037 frame=12.92ms map=0.03ms/175458v/1draw facility=1.47ms/30012v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=8.53ms swap=0.04ms entities=15 projectiles=0
06:24:48.388 frame=13.37ms map=0.05ms/175458v/1draw facility=1.55ms/28416v/1draw unit=2.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=8.81ms swap=0.04ms entities=15 projectiles=0
06:25:11.318 frame=443.85ms map=18.80ms/175458v/1draw facility=21.12ms/30012v/1draw unit=25.55ms/32616v/1draw projectile=0.53ms/0v/0draw flush=1.46ms overlay=46.52ms swap=1.56ms entities=15 projectiles=0
06:25:13.389 frame=12.11ms map=0.09ms/175458v/1draw facility=1.63ms/30012v/1draw unit=3.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.18ms overlay=6.01ms swap=0.37ms entities=15 projectiles=0
06:25:15.391 frame=4.54ms map=0.07ms/175458v/1draw facility=1.43ms/30012v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.23ms entities=15 projectiles=0
06:25:17.448 frame=11.00ms map=0.08ms/175458v/1draw facility=1.40ms/29112v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.34ms swap=0.29ms entities=15 projectiles=0
06:25:19.606 frame=10.80ms map=0.08ms/175458v/1draw facility=1.41ms/29112v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.10ms swap=0.28ms entities=15 projectiles=0
06:25:21.668 frame=10.44ms map=0.08ms/175458v/1draw facility=1.28ms/27516v/1draw unit=2.71ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=5.73ms swap=0.39ms entities=15 projectiles=0
06:25:23.750 frame=10.43ms map=0.08ms/175458v/1draw facility=1.28ms/27516v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=5.81ms swap=0.38ms entities=15 projectiles=0
06:25:25.758 frame=10.85ms map=0.08ms/175458v/1draw facility=1.42ms/26820v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.13ms swap=0.36ms entities=15 projectiles=0
06:25:27.901 frame=10.47ms map=0.08ms/175458v/1draw facility=1.20ms/26820v/1draw unit=2.60ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=5.97ms swap=0.41ms entities=15 projectiles=0
06:25:30.040 frame=10.78ms map=0.09ms/175458v/1draw facility=1.31ms/26820v/1draw unit=3.15ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=5.70ms swap=0.30ms entities=15 projectiles=1
06:25:32.145 frame=10.26ms map=0.08ms/175458v/1draw facility=1.32ms/28416v/1draw unit=2.59ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.05ms overlay=5.79ms swap=0.27ms entities=15 projectiles=1
06:25:34.183 frame=11.20ms map=0.08ms/175458v/1draw facility=1.39ms/29112v/1draw unit=2.61ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.58ms swap=0.28ms entities=15 projectiles=0
06:25:36.190 frame=17.07ms map=0.13ms/175458v/1draw facility=2.16ms/29112v/1draw unit=3.77ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.15ms overlay=10.11ms swap=0.45ms entities=15 projectiles=0
