06:47:07.123 total=2.45ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.00ms rules=1.07ms select=0.00ms entities=15 projectiles=0
06:47:09.132 total=2.52ms reload=0.00ms input=0.01ms motion=1.57ms filter=0.00ms rules=0.93ms select=0.00ms entities=15 projectiles=1
06:47:11.146 total=2.15ms reload=0.00ms input=0.01ms motion=1.33ms filter=0.00ms rules=0.81ms select=0.00ms entities=15 projectiles=0
06:47:13.149 total=1.86ms reload=0.00ms input=0.01ms motion=1.31ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=0
06:47:15.169 total=30.94ms reload=0.00ms input=0.01ms motion=0.99ms filter=0.00ms rules=29.93ms select=0.01ms entities=15 projectiles=1
06:47:17.178 total=30.70ms reload=0.00ms input=0.01ms motion=0.89ms filter=0.00ms rules=29.79ms select=0.01ms entities=15 projectiles=0
06:47:19.184 total=30.68ms reload=0.00ms input=0.00ms motion=0.87ms filter=0.00ms rules=29.79ms select=0.01ms entities=15 projectiles=0
06:47:21.185 total=30.65ms reload=0.00ms input=0.01ms motion=0.89ms filter=0.00ms rules=29.75ms select=0.01ms entities=15 projectiles=0
06:47:23.200 total=30.75ms reload=0.00ms input=0.01ms motion=0.85ms filter=0.00ms rules=29.88ms select=0.00ms entities=15 projectiles=2
06:47:25.218 total=31.11ms reload=0.00ms input=0.01ms motion=1.03ms filter=0.00ms rules=30.07ms select=0.01ms entities=15 projectiles=1
06:47:27.221 total=1.67ms reload=0.00ms input=0.01ms motion=0.86ms filter=0.00ms rules=0.80ms select=0.00ms entities=15 projectiles=1
06:47:29.222 total=31.72ms reload=0.00ms input=0.01ms motion=30.78ms filter=0.00ms rules=0.93ms select=0.00ms entities=15 projectiles=0
06:47:31.240 total=1.92ms reload=0.00ms input=0.01ms motion=0.86ms filter=0.00ms rules=1.05ms select=0.00ms entities=15 projectiles=1
06:47:33.243 total=2.12ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=1.13ms select=0.00ms entities=15 projectiles=0
06:47:35.249 total=2.07ms reload=0.00ms input=0.01ms motion=1.01ms filter=0.00ms rules=1.05ms select=0.00ms entities=15 projectiles=0
06:47:37.253 total=1.73ms reload=0.00ms input=0.01ms motion=0.83ms filter=0.00ms rules=0.88ms select=0.00ms entities=15 projectiles=1
06:47:39.259 total=1.55ms reload=0.00ms input=0.01ms motion=0.85ms filter=0.00ms rules=0.68ms select=0.00ms entities=15 projectiles=0
06:47:41.262 total=1.69ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.70ms select=0.00ms entities=15 projectiles=0
06:47:43.285 total=30.25ms reload=0.00ms input=0.01ms motion=1.00ms filter=0.00ms rules=29.23ms select=0.01ms entities=15 projectiles=1
06:47:45.305 total=32.33ms reload=0.00ms input=0.01ms motion=3.47ms filter=0.00ms rules=28.85ms select=0.01ms entities=15 projectiles=0
06:47:47.316 total=29.52ms reload=0.00ms input=0.00ms motion=0.92ms filter=0.00ms rules=28.58ms select=0.01ms entities=15 projectiles=0
06:47:49.339 total=30.01ms reload=0.00ms input=0.01ms motion=1.01ms filter=0.00ms rules=28.99ms select=0.00ms entities=15 projectiles=2
06:47:51.346 total=29.86ms reload=0.00ms input=0.00ms motion=0.88ms filter=0.00ms rules=28.98ms select=0.01ms entities=15 projectiles=0
06:47:53.392 total=58.78ms reload=0.00ms input=0.00ms motion=29.89ms filter=0.00ms rules=28.88ms select=0.00ms entities=15 projectiles=1
06:47:55.418 total=29.15ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=28.16ms select=0.00ms entities=15 projectiles=0
06:47:57.442 total=60.68ms reload=0.00ms input=0.00ms motion=32.09ms filter=0.00ms rules=28.59ms select=0.01ms entities=15 projectiles=2
06:47:59.471 total=29.25ms reload=0.00ms input=0.01ms motion=0.84ms filter=0.00ms rules=28.40ms select=0.01ms entities=15 projectiles=3
06:48:01.494 total=29.16ms reload=0.00ms input=0.01ms motion=0.84ms filter=0.00ms rules=28.31ms select=0.00ms entities=15 projectiles=3
06:48:03.497 total=29.16ms reload=0.00ms input=0.01ms motion=0.93ms filter=0.00ms rules=28.21ms select=0.00ms entities=15 projectiles=1
06:48:05.507 total=29.38ms reload=0.00ms input=0.01ms motion=0.99ms filter=0.00ms rules=28.37ms select=0.01ms entities=15 projectiles=3
06:48:07.526 total=32.05ms reload=0.00ms input=0.01ms motion=3.57ms filter=0.00ms rules=28.46ms select=0.01ms entities=15 projectiles=4
06:48:09.540 total=29.32ms reload=0.00ms input=0.02ms motion=0.83ms filter=0.00ms rules=28.47ms select=0.01ms entities=15 projectiles=3
06:48:11.547 total=28.86ms reload=0.00ms input=0.01ms motion=0.83ms filter=0.00ms rules=28.01ms select=0.01ms entities=15 projectiles=0
06:48:13.615 total=62.55ms reload=0.00ms input=0.01ms motion=34.80ms filter=0.00ms rules=27.73ms select=0.01ms entities=15 projectiles=0
06:48:15.654 total=29.26ms reload=0.00ms input=0.01ms motion=0.85ms filter=0.00ms rules=28.40ms select=0.01ms entities=15 projectiles=7
06:48:17.691 total=28.91ms reload=0.00ms input=0.01ms motion=0.86ms filter=0.00ms rules=28.04ms select=0.00ms entities=15 projectiles=8
06:48:19.701 total=29.41ms reload=0.00ms input=0.01ms motion=0.87ms filter=0.00ms rules=28.52ms select=0.01ms entities=15 projectiles=3
06:48:21.728 total=29.69ms reload=0.00ms input=0.01ms motion=0.88ms filter=0.00ms rules=28.80ms select=0.00ms entities=15 projectiles=1
06:48:23.729 total=30.20ms reload=0.00ms input=0.01ms motion=0.87ms filter=0.00ms rules=29.32ms select=0.01ms entities=15 projectiles=0
06:48:25.738 total=28.46ms reload=0.00ms input=0.00ms motion=0.88ms filter=0.00ms rules=27.57ms select=0.00ms entities=15 projectiles=0
06:48:27.745 total=28.31ms reload=0.00ms input=0.01ms motion=1.08ms filter=0.00ms rules=27.22ms select=0.01ms entities=15 projectiles=0
06:48:29.746 total=28.24ms reload=0.00ms input=0.00ms motion=0.86ms filter=0.00ms rules=27.37ms select=0.01ms entities=15 projectiles=0
06:48:31.752 total=28.75ms reload=0.00ms input=0.00ms motion=0.84ms filter=0.00ms rules=27.90ms select=0.01ms entities=15 projectiles=0
06:48:33.753 total=28.75ms reload=0.00ms input=0.00ms motion=0.86ms filter=0.00ms rules=27.88ms select=0.00ms entities=15 projectiles=0
06:48:35.768 total=1.77ms reload=0.00ms input=0.01ms motion=0.94ms filter=0.00ms rules=0.82ms select=0.00ms entities=15 projectiles=1
06:48:37.776 total=2.51ms reload=0.00ms input=0.01ms motion=0.93ms filter=0.00ms rules=1.57ms select=0.00ms entities=15 projectiles=7
06:48:39.780 total=1.88ms reload=0.00ms input=0.01ms motion=0.90ms filter=0.00ms rules=0.97ms select=0.00ms entities=15 projectiles=0
06:48:41.793 total=2.28ms reload=0.00ms input=0.01ms motion=0.99ms filter=0.00ms rules=1.27ms select=0.00ms entities=15 projectiles=4
06:48:43.795 total=1.87ms reload=0.00ms input=0.01ms motion=0.89ms filter=0.00ms rules=0.97ms select=0.00ms entities=15 projectiles=0
06:48:45.819 total=1.87ms reload=0.00ms input=0.01ms motion=0.94ms filter=0.00ms rules=0.92ms select=0.00ms entities=15 projectiles=0
06:48:47.829 total=1.97ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.98ms select=0.00ms entities=15 projectiles=0
06:54:45.434 total=33.28ms reload=0.14ms input=1.10ms motion=22.75ms filter=0.00ms rules=9.28ms select=0.01ms entities=15 projectiles=0
06:54:47.451 total=1.60ms reload=0.00ms input=0.01ms motion=0.84ms filter=0.00ms rules=0.75ms select=0.01ms entities=15 projectiles=0
06:54:49.513 total=91.01ms reload=0.00ms input=0.01ms motion=90.43ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:54:51.527 total=121.17ms reload=0.00ms input=0.01ms motion=120.59ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:54:53.550 total=122.27ms reload=0.00ms input=0.01ms motion=121.68ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=0
06:54:55.552 total=31.81ms reload=0.00ms input=0.01ms motion=31.03ms filter=0.00ms rules=0.76ms select=0.00ms entities=15 projectiles=1
06:54:57.554 total=2.15ms reload=0.00ms input=0.01ms motion=1.50ms filter=0.01ms rules=0.62ms select=0.01ms entities=15 projectiles=0
06:54:59.556 total=1.92ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:55:01.566 total=2.45ms reload=0.00ms input=0.01ms motion=1.73ms filter=0.00ms rules=0.70ms select=0.00ms entities=15 projectiles=1
06:55:03.571 total=1.93ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:55:05.579 total=1.96ms reload=0.00ms input=0.01ms motion=1.42ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:55:07.590 total=2.01ms reload=0.00ms input=0.01ms motion=1.44ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:55:09.597 total=2.49ms reload=0.00ms input=0.01ms motion=1.69ms filter=0.00ms rules=0.78ms select=0.00ms entities=15 projectiles=1
06:55:11.611 total=2.33ms reload=0.00ms input=0.01ms motion=1.45ms filter=0.00ms rules=0.86ms select=0.00ms entities=15 projectiles=3
06:55:13.621 total=2.15ms reload=0.00ms input=0.01ms motion=1.35ms filter=0.00ms rules=0.79ms select=0.00ms entities=15 projectiles=2
06:55:15.646 total=2.41ms reload=0.00ms input=0.01ms motion=1.46ms filter=0.00ms rules=0.93ms select=0.00ms entities=15 projectiles=1
06:55:17.676 total=61.81ms reload=0.00ms input=0.01ms motion=60.97ms filter=0.01ms rules=0.83ms select=0.01ms entities=15 projectiles=2
06:55:19.692 total=1.96ms reload=0.00ms input=0.01ms motion=1.39ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:55:21.694 total=2.15ms reload=0.00ms input=0.01ms motion=1.58ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:55:23.702 total=1.85ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:55:25.702 total=1.97ms reload=0.00ms input=0.01ms motion=1.38ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=0
06:55:27.716 total=2.22ms reload=0.00ms input=0.01ms motion=1.39ms filter=0.00ms rules=0.81ms select=0.00ms entities=15 projectiles=2
06:55:29.719 total=2.11ms reload=0.00ms input=0.01ms motion=1.54ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:55:31.731 total=1.86ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=0
06:55:33.745 total=2.13ms reload=0.00ms input=0.01ms motion=1.58ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=0
06:55:35.745 total=1.89ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:55:37.751 total=2.11ms reload=0.00ms input=0.01ms motion=1.42ms filter=0.00ms rules=0.68ms select=0.00ms entities=15 projectiles=1
06:55:39.751 total=1.85ms reload=0.00ms input=0.01ms motion=1.31ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=0
06:55:41.760 total=1.83ms reload=0.00ms input=0.01ms motion=1.31ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:55:43.764 total=29.72ms reload=0.00ms input=0.01ms motion=0.84ms filter=0.00ms rules=28.87ms select=0.01ms entities=15 projectiles=0
06:55:45.764 total=29.65ms reload=0.00ms input=0.01ms motion=0.84ms filter=0.00ms rules=28.80ms select=0.00ms entities=15 projectiles=0
06:55:47.786 total=29.47ms reload=0.00ms input=0.00ms motion=0.80ms filter=0.00ms rules=28.66ms select=0.00ms entities=15 projectiles=0
