22:38:28.159 frame=10.23ms map=0.37ms/14119074v/57draw/27132243resident/0pending facility=0.02ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.59ms swap=0.05ms entities=11 projectiles=1
22:38:30.172 frame=3.99ms map=0.84ms/14866278v/82draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:32.173 frame=4.40ms map=0.78ms/8571066v/64draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=3.06ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:34.185 frame=5.11ms map=1.09ms/15281676v/63draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=3.61ms/33336v/1draw projectile=0.01ms/15v/1draw flush=0.10ms overlay=0.01ms swap=0.08ms entities=11 projectiles=1
22:38:36.185 frame=4.00ms map=0.78ms/11984691v/48draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:38.202 frame=9.63ms map=0.82ms/15600315v/90draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.07ms overlay=5.64ms swap=0.05ms entities=11 projectiles=1
22:38:40.214 frame=4.46ms map=0.86ms/14866293v/77draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=3.28ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:42.217 frame=3.92ms map=0.78ms/14831019v/66draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.81ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=1
22:47:09.448 frame=91.23ms map=16.79ms/17767512v/16draw/13719resident/81pending facility=5.71ms/252v/1draw unit=7.46ms/33336v/1draw projectile=0.71ms/0v/0draw flush=1.13ms overlay=55.02ms swap=0.25ms entities=11 projectiles=0
22:47:11.454 frame=3.54ms map=0.36ms/17767512v/97draw/17767512resident/0pending facility=0.03ms/252v/1draw unit=2.96ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:47:13.455 frame=5.08ms map=0.48ms/17767512v/97draw/17767512resident/0pending facility=0.03ms/252v/1draw unit=3.79ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=0.01ms swap=0.06ms entities=11 projectiles=0
22:47:15.469 frame=6.67ms map=0.54ms/17767512v/97draw/17767512resident/0pending facility=2.93ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
