22:22:42.758 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:22:44.780 total=0.18ms respawn=0.04ms interaction=0.02ms combat=0.11ms entities=15 projectiles=1
22:22:46.784 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:22:48.798 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:50.809 total=0.18ms respawn=0.04ms interaction=0.02ms combat=0.11ms entities=15 projectiles=1
22:22:52.812 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.11ms entities=15 projectiles=1
22:22:54.829 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=2
22:22:56.830 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:22:58.842 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:23:34.457 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:23:36.479 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:23:38.489 total=0.26ms respawn=0.04ms interaction=0.02ms combat=0.19ms entities=15 projectiles=1
22:23:40.508 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:23:42.508 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:23:44.519 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:23:46.541 total=0.34ms respawn=0.04ms interaction=0.02ms combat=0.27ms entities=15 projectiles=1
22:23:48.563 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:23:50.573 total=0.25ms respawn=0.11ms interaction=0.02ms combat=0.11ms entities=15 projectiles=2
22:23:52.579 total=3.92ms respawn=0.05ms interaction=0.02ms combat=3.85ms entities=15 projectiles=3
22:23:54.601 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=3
22:23:56.607 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:23:58.612 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:00.629 total=0.20ms respawn=0.04ms interaction=0.02ms combat=0.14ms entities=15 projectiles=2
22:24:02.645 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:04.650 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:24:06.665 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:24:08.681 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:24:10.694 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:12.705 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:14.708 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:16.734 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:24:18.748 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:20.773 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=2
22:24:22.793 total=0.48ms respawn=0.04ms interaction=0.02ms combat=0.41ms entities=15 projectiles=6
22:24:24.796 total=0.18ms respawn=0.05ms interaction=0.03ms combat=0.10ms entities=15 projectiles=1
22:24:26.815 total=0.19ms respawn=0.05ms interaction=0.03ms combat=0.11ms entities=15 projectiles=1
22:24:28.829 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:30.831 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:32.836 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:34.857 total=0.37ms respawn=0.04ms interaction=0.02ms combat=0.31ms entities=15 projectiles=3
22:24:36.858 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:38.868 total=0.33ms respawn=0.04ms interaction=0.02ms combat=0.26ms entities=15 projectiles=2
22:24:40.884 total=0.17ms respawn=0.04ms interaction=0.03ms combat=0.10ms entities=15 projectiles=1
22:24:42.890 total=0.22ms respawn=0.04ms interaction=0.02ms combat=0.16ms entities=15 projectiles=3
22:24:44.908 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:24:46.936 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:24:48.937 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:24:50.953 total=0.16ms respawn=0.04ms interaction=0.03ms combat=0.09ms entities=15 projectiles=1
22:24:52.961 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:54.982 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:24:56.993 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:24:58.999 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:01.004 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:03.376 total=0.19ms respawn=0.04ms interaction=0.02ms combat=0.12ms entities=15 projectiles=1
22:25:05.395 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:07.412 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:09.422 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:11.443 total=0.18ms respawn=0.05ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:25:13.443 total=0.17ms respawn=0.05ms interaction=0.03ms combat=0.09ms entities=15 projectiles=1
22:25:15.473 total=0.17ms respawn=0.05ms interaction=0.03ms combat=0.09ms entities=15 projectiles=1
22:25:17.503 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:25:19.504 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.11ms entities=15 projectiles=1
22:25:21.512 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:23.527 total=0.20ms respawn=0.05ms interaction=0.02ms combat=0.13ms entities=15 projectiles=1
22:25:25.546 total=0.25ms respawn=0.13ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:27.565 total=0.15ms respawn=0.05ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:29.604 total=0.19ms respawn=0.05ms interaction=0.03ms combat=0.11ms entities=15 projectiles=1
22:25:31.612 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:33.627 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:35.635 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:37.648 total=0.28ms respawn=0.06ms interaction=0.03ms combat=0.19ms entities=15 projectiles=1
22:25:39.663 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:41.674 total=0.28ms respawn=0.04ms interaction=0.02ms combat=0.21ms entities=15 projectiles=1
22:25:43.700 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:25:45.737 total=0.21ms respawn=0.05ms interaction=0.02ms combat=0.14ms entities=15 projectiles=1
22:25:47.738 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:49.756 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:25:51.760 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:25:53.764 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:55.765 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:25:57.777 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:25:59.787 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=2
22:28:49.575 total=13.67ms respawn=2.68ms interaction=6.32ms combat=4.52ms entities=15 projectiles=0
22:28:51.600 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:28:53.624 total=0.12ms respawn=0.07ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:28:55.625 total=0.09ms respawn=0.05ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:28:57.628 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:28:59.653 total=0.10ms respawn=0.06ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:29:01.656 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
