22:21:52.508 total=2.28ms reload=0.04ms input=0.01ms motion=1.63ms filter=0.00ms rules=0.60ms select=0.01ms entities=15 projectiles=1
22:21:54.509 total=2.25ms reload=0.03ms input=0.00ms motion=1.56ms filter=0.00ms rules=0.63ms select=0.01ms entities=15 projectiles=1
22:21:56.524 total=2.13ms reload=0.05ms input=0.01ms motion=1.44ms filter=0.00ms rules=0.62ms select=0.01ms entities=15 projectiles=1
22:21:58.526 total=2.16ms reload=0.05ms input=0.01ms motion=1.55ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:22:00.536 total=2.25ms reload=0.05ms input=0.01ms motion=1.42ms filter=0.00ms rules=0.77ms select=0.01ms entities=15 projectiles=1
22:22:02.554 total=1.97ms reload=0.04ms input=0.01ms motion=1.37ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=1
22:22:04.571 total=2.31ms reload=0.04ms input=0.01ms motion=1.60ms filter=0.00ms rules=0.66ms select=0.01ms entities=15 projectiles=1
22:22:06.574 total=2.84ms reload=0.06ms input=0.01ms motion=1.95ms filter=0.01ms rules=0.80ms select=0.01ms entities=15 projectiles=1
22:22:08.586 total=2.42ms reload=0.04ms input=0.01ms motion=1.80ms filter=0.01ms rules=0.56ms select=0.01ms entities=15 projectiles=1
22:22:10.595 total=2.12ms reload=0.05ms input=0.01ms motion=1.41ms filter=0.00ms rules=0.65ms select=0.00ms entities=15 projectiles=7
22:22:12.598 total=2.12ms reload=0.04ms input=0.01ms motion=1.49ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=1
22:22:14.615 total=2.00ms reload=0.04ms input=0.01ms motion=1.18ms filter=0.00ms rules=0.77ms select=0.01ms entities=15 projectiles=2
22:22:16.617 total=2.21ms reload=0.00ms input=0.01ms motion=1.64ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=2
22:22:18.623 total=1.61ms reload=0.00ms input=0.01ms motion=1.06ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=2
22:22:20.627 total=1.94ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.63ms select=0.00ms entities=15 projectiles=1
22:22:22.631 total=2.50ms reload=0.00ms input=0.02ms motion=1.69ms filter=0.01ms rules=0.77ms select=0.01ms entities=15 projectiles=1
22:22:24.633 total=1.74ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.76ms select=0.00ms entities=15 projectiles=1
22:22:26.643 total=1.73ms reload=0.00ms input=0.01ms motion=1.07ms filter=0.00ms rules=0.64ms select=0.00ms entities=15 projectiles=1
22:22:28.651 total=1.64ms reload=0.00ms input=0.01ms motion=0.98ms filter=0.00ms rules=0.63ms select=0.00ms entities=15 projectiles=1
22:22:30.652 total=1.66ms reload=0.00ms input=0.00ms motion=1.05ms filter=0.00ms rules=0.60ms select=0.00ms entities=15 projectiles=1
22:22:32.683 total=2.05ms reload=0.00ms input=0.01ms motion=1.40ms filter=0.00ms rules=0.63ms select=0.00ms entities=15 projectiles=1
