22:18:22.521 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:18:22.528 source=RMUC2026_MAP.terraincache.lz4 gpu_chunk_build=background_started
22:18:25.027 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:21:48.449 gpu_stream visible_vertices=8654322 resident_vertices=26463339 draw_calls=75 pending_upload_chunks=0 total_triangles=8821113
22:21:50.469 gpu_stream visible_vertices=5708856 resident_vertices=26463339 draw_calls=39 pending_upload_chunks=0 total_triangles=8821113
22:21:52.482 gpu_stream visible_vertices=14162703 resident_vertices=26463339 draw_calls=65 pending_upload_chunks=0 total_triangles=8821113
22:21:54.510 gpu_stream visible_vertices=14152383 resident_vertices=26463339 draw_calls=55 pending_upload_chunks=0 total_triangles=8821113
22:21:56.527 gpu_stream visible_vertices=20177043 resident_vertices=26463339 draw_calls=98 pending_upload_chunks=0 total_triangles=8821113
22:21:58.528 gpu_stream visible_vertices=20150817 resident_vertices=26463339 draw_calls=80 pending_upload_chunks=0 total_triangles=8821113
22:22:00.538 gpu_stream visible_vertices=20181225 resident_vertices=26463339 draw_calls=100 pending_upload_chunks=0 total_triangles=8821113
22:22:02.557 gpu_stream visible_vertices=20181222 resident_vertices=26463339 draw_calls=99 pending_upload_chunks=0 total_triangles=8821113
22:22:04.572 gpu_stream visible_vertices=12359706 resident_vertices=26463339 draw_calls=40 pending_upload_chunks=0 total_triangles=8821113
22:22:06.578 gpu_stream visible_vertices=13638258 resident_vertices=26463339 draw_calls=46 pending_upload_chunks=0 total_triangles=8821113
22:22:08.589 gpu_stream visible_vertices=13638558 resident_vertices=26463339 draw_calls=48 pending_upload_chunks=0 total_triangles=8821113
22:22:10.600 gpu_stream visible_vertices=13644972 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:22:12.600 gpu_stream visible_vertices=14876103 resident_vertices=26463339 draw_calls=88 pending_upload_chunks=0 total_triangles=8821113
22:22:14.617 gpu_stream visible_vertices=14860914 resident_vertices=26463339 draw_calls=78 pending_upload_chunks=0 total_triangles=8821113
22:22:16.618 gpu_stream visible_vertices=17096895 resident_vertices=26463339 draw_calls=95 pending_upload_chunks=0 total_triangles=8821113
22:22:18.625 gpu_stream visible_vertices=14874900 resident_vertices=26463339 draw_calls=86 pending_upload_chunks=0 total_triangles=8821113
22:22:20.629 gpu_stream visible_vertices=14873298 resident_vertices=26463339 draw_calls=79 pending_upload_chunks=0 total_triangles=8821113
22:22:22.633 gpu_stream visible_vertices=14860620 resident_vertices=26463339 draw_calls=79 pending_upload_chunks=0 total_triangles=8821113
22:22:24.636 gpu_stream visible_vertices=7802607 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:22:26.645 gpu_stream visible_vertices=7521717 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:22:28.653 gpu_stream visible_vertices=14865309 resident_vertices=26463339 draw_calls=69 pending_upload_chunks=0 total_triangles=8821113
22:22:30.678 gpu_stream visible_vertices=14867262 resident_vertices=26463339 draw_calls=74 pending_upload_chunks=0 total_triangles=8821113
22:22:32.685 gpu_stream visible_vertices=14866125 resident_vertices=26463339 draw_calls=71 pending_upload_chunks=0 total_triangles=8821113
22:22:34.692 gpu_stream visible_vertices=14073969 resident_vertices=26463339 draw_calls=52 pending_upload_chunks=0 total_triangles=8821113
22:22:36.722 gpu_stream visible_vertices=14073786 resident_vertices=26463339 draw_calls=50 pending_upload_chunks=0 total_triangles=8821113
22:22:38.745 gpu_stream visible_vertices=14073786 resident_vertices=26463339 draw_calls=50 pending_upload_chunks=0 total_triangles=8821113
22:22:40.759 gpu_stream visible_vertices=5314011 resident_vertices=26463339 draw_calls=33 pending_upload_chunks=0 total_triangles=8821113
22:22:42.763 gpu_stream visible_vertices=3096741 resident_vertices=26463339 draw_calls=28 pending_upload_chunks=0 total_triangles=8821113
22:22:44.783 gpu_stream visible_vertices=14876283 resident_vertices=26463339 draw_calls=89 pending_upload_chunks=0 total_triangles=8821113
22:22:46.786 gpu_stream visible_vertices=14867283 resident_vertices=26463339 draw_calls=76 pending_upload_chunks=0 total_triangles=8821113
22:22:48.800 gpu_stream visible_vertices=14699859 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:22:50.811 gpu_stream visible_vertices=14083098 resident_vertices=26463339 draw_calls=55 pending_upload_chunks=0 total_triangles=8821113
22:22:52.813 gpu_stream visible_vertices=13572888 resident_vertices=26463339 draw_calls=47 pending_upload_chunks=0 total_triangles=8821113
22:22:54.831 gpu_stream visible_vertices=13571334 resident_vertices=26463339 draw_calls=43 pending_upload_chunks=0 total_triangles=8821113
22:22:56.831 gpu_stream visible_vertices=14148162 resident_vertices=26463339 draw_calls=48 pending_upload_chunks=0 total_triangles=8821113
22:22:58.844 gpu_stream visible_vertices=14694381 resident_vertices=26463339 draw_calls=65 pending_upload_chunks=0 total_triangles=8821113
22:23:00.861 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:02.886 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:04.944 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:06.982 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:09.010 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:11.041 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:13.078 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:15.139 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:17.176 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:19.216 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:21.269 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:23.306 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:25.332 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:27.371 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:29.410 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:31.426 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:33.435 gpu_stream visible_vertices=14088618 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:23:35.454 gpu_stream visible_vertices=14085813 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:23:37.479 gpu_stream visible_vertices=14160507 resident_vertices=26463339 draw_calls=62 pending_upload_chunks=0 total_triangles=8821113
22:23:39.488 gpu_stream visible_vertices=20181093 resident_vertices=26463339 draw_calls=99 pending_upload_chunks=0 total_triangles=8821113
22:23:41.504 gpu_stream visible_vertices=14252193 resident_vertices=26463339 draw_calls=74 pending_upload_chunks=0 total_triangles=8821113
22:23:43.515 gpu_stream visible_vertices=14093919 resident_vertices=26463339 draw_calls=71 pending_upload_chunks=0 total_triangles=8821113
22:23:45.529 gpu_stream visible_vertices=14093835 resident_vertices=26463339 draw_calls=68 pending_upload_chunks=0 total_triangles=8821113
22:23:47.537 gpu_stream visible_vertices=14082759 resident_vertices=26463339 draw_calls=51 pending_upload_chunks=0 total_triangles=8821113
22:23:49.557 gpu_stream visible_vertices=13573140 resident_vertices=26463339 draw_calls=48 pending_upload_chunks=0 total_triangles=8821113
22:23:51.580 gpu_stream visible_vertices=13573140 resident_vertices=26463339 draw_calls=48 pending_upload_chunks=0 total_triangles=8821113
22:23:53.598 gpu_stream visible_vertices=13573194 resident_vertices=26463339 draw_calls=50 pending_upload_chunks=0 total_triangles=8821113
22:23:55.612 gpu_stream visible_vertices=13573194 resident_vertices=26463339 draw_calls=50 pending_upload_chunks=0 total_triangles=8821113
22:23:57.620 gpu_stream visible_vertices=13573161 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:23:59.622 gpu_stream visible_vertices=13573161 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:24:01.624 gpu_stream visible_vertices=13573161 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:24:03.648 gpu_stream visible_vertices=13573161 resident_vertices=26463339 draw_calls=49 pending_upload_chunks=0 total_triangles=8821113
22:24:05.662 gpu_stream visible_vertices=15024357 resident_vertices=26463339 draw_calls=57 pending_upload_chunks=0 total_triangles=8821113
22:24:07.683 gpu_stream visible_vertices=7817169 resident_vertices=26463339 draw_calls=48 pending_upload_chunks=0 total_triangles=8821113
22:24:09.701 gpu_stream visible_vertices=5664627 resident_vertices=26463339 draw_calls=47 pending_upload_chunks=0 total_triangles=8821113
22:24:11.712 gpu_stream visible_vertices=5663601 resident_vertices=26463339 draw_calls=45 pending_upload_chunks=0 total_triangles=8821113
22:24:13.722 gpu_stream visible_vertices=8526468 resident_vertices=26463339 draw_calls=17 pending_upload_chunks=0 total_triangles=8821113
22:24:15.739 gpu_stream visible_vertices=7818477 resident_vertices=26463339 draw_calls=51 pending_upload_chunks=0 total_triangles=8821113
22:24:17.767 gpu_stream visible_vertices=8704263 resident_vertices=26463339 draw_calls=9 pending_upload_chunks=0 total_triangles=8821113
22:24:19.779 gpu_stream visible_vertices=14659800 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:24:21.784 gpu_stream visible_vertices=14694900 resident_vertices=26463339 draw_calls=65 pending_upload_chunks=0 total_triangles=8821113
22:24:23.815 gpu_stream visible_vertices=14811597 resident_vertices=26463339 draw_calls=19 pending_upload_chunks=0 total_triangles=8821113
22:24:25.815 gpu_stream visible_vertices=6215640 resident_vertices=26463339 draw_calls=13 pending_upload_chunks=0 total_triangles=8821113
22:24:27.845 gpu_stream visible_vertices=14244462 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:24:29.863 gpu_stream visible_vertices=14693637 resident_vertices=26463339 draw_calls=63 pending_upload_chunks=0 total_triangles=8821113
22:24:31.867 gpu_stream visible_vertices=14693637 resident_vertices=26463339 draw_calls=63 pending_upload_chunks=0 total_triangles=8821113
22:24:33.904 gpu_stream visible_vertices=14852010 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:24:35.924 gpu_stream visible_vertices=14857749 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:24:37.935 gpu_stream visible_vertices=14852010 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:24:39.939 gpu_stream visible_vertices=14835783 resident_vertices=26463339 draw_calls=56 pending_upload_chunks=0 total_triangles=8821113
22:24:41.964 gpu_stream visible_vertices=14693952 resident_vertices=26463339 draw_calls=64 pending_upload_chunks=0 total_triangles=8821113
22:24:43.964 gpu_stream visible_vertices=14851764 resident_vertices=26463339 draw_calls=66 pending_upload_chunks=0 total_triangles=8821113
22:24:45.981 gpu_stream visible_vertices=13591776 resident_vertices=26463339 draw_calls=46 pending_upload_chunks=0 total_triangles=8821113
22:24:48.002 gpu_stream visible_vertices=12289788 resident_vertices=26463339 draw_calls=33 pending_upload_chunks=0 total_triangles=8821113
22:24:50.013 gpu_stream visible_vertices=11554395 resident_vertices=26463339 draw_calls=42 pending_upload_chunks=0 total_triangles=8821113
22:24:52.022 gpu_stream visible_vertices=20160774 resident_vertices=26463339 draw_calls=97 pending_upload_chunks=0 total_triangles=8821113
22:24:54.048 gpu_stream visible_vertices=20152734 resident_vertices=26463339 draw_calls=77 pending_upload_chunks=0 total_triangles=8821113
22:24:56.056 gpu_stream visible_vertices=10619352 resident_vertices=26463339 draw_calls=26 pending_upload_chunks=0 total_triangles=8821113
22:24:58.069 gpu_stream visible_vertices=11519862 resident_vertices=26463339 draw_calls=22 pending_upload_chunks=0 total_triangles=8821113
22:25:00.094 gpu_stream visible_vertices=14913663 resident_vertices=26463339 draw_calls=81 pending_upload_chunks=0 total_triangles=8821113
22:25:02.105 gpu_stream visible_vertices=11196 resident_vertices=26463339 draw_calls=14 pending_upload_chunks=0 total_triangles=8821113
22:25:04.107 gpu_stream visible_vertices=13582641 resident_vertices=26463339 draw_calls=59 pending_upload_chunks=0 total_triangles=8821113
22:25:06.125 gpu_stream visible_vertices=17174082 resident_vertices=26463339 draw_calls=62 pending_upload_chunks=0 total_triangles=8821113
