22:22:32.682 total=0.76ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
22:22:34.689 total=0.67ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:22:36.719 total=0.53ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:22:38.741 total=0.49ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.46ms movable=10
22:22:40.756 total=0.45ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.42ms movable=10
22:22:42.758 total=0.66ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
22:22:44.779 total=0.53ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.51ms movable=10
22:22:46.783 total=0.58ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
22:22:48.797 total=0.92ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
22:22:50.808 total=0.72ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.67ms movable=10
22:22:52.811 total=0.54ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:22:54.828 total=0.64ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.61ms movable=10
22:22:56.829 total=1.41ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.39ms movable=10
22:22:58.841 total=0.64ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.61ms movable=10
22:23:34.457 total=1.59ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.56ms movable=10
22:23:36.478 total=2.33ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=2.31ms movable=10
22:23:38.488 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:23:40.508 total=0.34ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.31ms movable=10
22:23:42.508 total=0.56ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.53ms movable=10
22:23:44.518 total=0.27ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.24ms movable=10
22:23:46.540 total=0.83ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
22:23:48.563 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:23:50.572 total=0.66ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
22:23:52.574 total=0.51ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:23:54.575 total=0.53ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:23:56.581 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:23:58.586 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.60ms movable=10
22:24:00.593 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:24:02.620 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.59ms movable=10
22:24:04.624 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:24:06.640 total=0.61ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
22:24:08.654 total=0.68ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:24:10.660 total=0.86ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.70ms movable=10
22:24:12.679 total=0.84ms control=0.17ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:24:14.707 total=1.01ms control=0.12ms rotation=0.08ms vertical=0.00ms translation=0.80ms movable=10
22:24:16.733 total=1.10ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
22:24:18.747 total=0.91ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
22:24:20.773 total=0.84ms control=0.15ms rotation=0.00ms vertical=0.00ms translation=0.67ms movable=10
22:24:22.792 total=0.90ms control=0.18ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
22:24:24.794 total=0.69ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.56ms movable=10
22:24:26.814 total=1.24ms control=0.02ms rotation=0.01ms vertical=0.00ms translation=1.20ms movable=10
22:24:28.828 total=0.57ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
22:24:30.830 total=0.83ms control=0.06ms rotation=0.00ms vertical=0.00ms translation=0.75ms movable=10
22:24:32.835 total=0.60ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:24:34.856 total=0.71ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
22:24:36.857 total=0.68ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.62ms movable=10
22:24:38.867 total=0.68ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
22:24:40.884 total=0.82ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
22:24:42.890 total=0.69ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:24:44.907 total=0.80ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
22:24:46.935 total=0.56ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
22:24:48.936 total=0.68ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:24:50.952 total=0.64ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.62ms movable=10
22:24:52.961 total=0.62ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.59ms movable=10
22:24:54.982 total=0.54ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:24:56.992 total=0.68ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:24:58.998 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:25:01.003 total=0.57ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
22:25:03.375 total=0.94ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.91ms movable=10
22:25:05.394 total=0.53ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:25:07.411 total=1.10ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=1.07ms movable=10
22:25:09.421 total=0.66ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
22:25:11.442 total=0.73ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.70ms movable=10
22:25:13.443 total=0.59ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.56ms movable=10
22:25:15.472 total=0.64ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.61ms movable=10
22:25:17.502 total=0.68ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.66ms movable=10
22:25:19.503 total=0.55ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.53ms movable=10
22:25:21.511 total=0.57ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
22:25:23.526 total=0.70ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.67ms movable=10
22:25:25.545 total=0.54ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.52ms movable=10
22:25:27.565 total=0.68ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.65ms movable=10
22:25:29.603 total=1.14ms control=0.01ms rotation=0.01ms vertical=0.00ms translation=1.09ms movable=10
22:25:31.611 total=0.60ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.56ms movable=10
22:25:33.627 total=0.58ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.54ms movable=10
22:25:35.635 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.60ms movable=10
22:25:37.647 total=0.84ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
22:25:39.662 total=0.44ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.41ms movable=10
22:25:41.673 total=2.13ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=2.10ms movable=10
22:25:43.673 total=0.85ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
22:25:45.699 total=0.99ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
22:25:47.701 total=0.81ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
22:25:49.717 total=0.45ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.42ms movable=10
