22:18:25.033 load_ok annotation=RMUC2026_MAP.component_roles.json terrain=RMUC2026_MAP.terraincache.lz4 items=2 triangles=872609
22:18:25.034 item team=red name=红方能量机关 components=10829 triangles=436305 pivot=(0.346,0.962,-1.296) coordYpr=(-45,0,0)
22:18:25.066 unit team=red kind=Ring name=红方能量机关-5-8 arm=4 ring=8 components=1 center=(-0.244,1.175,-0.948) normal=(-0.673,0.305,0.673) size=(0.084,0.084)
22:18:25.066 unit team=red kind=Ring name=红方能量机关-5-9 arm=4 ring=9 components=1 center=(-0.244,1.175,-0.948) normal=(-0.673,0.305,0.673) size=(0.056,0.056)
22:18:25.067 unit team=red kind=Ring name=红方能量机关-5-10 arm=4 ring=10 components=1 center=(-0.244,1.175,-0.948) normal=(-0.673,0.305,0.673) size=(0.028,0.028)
22:18:25.067 item team=blue name=蓝方能量机关 components=10824 triangles=436304 pivot=(-0.347,0.962,-1.992) coordYpr=(-45,-0,0)
22:18:25.068 unit team=blue kind=LightArm name=蓝方能量机关-1-光臂 arm=0 ring=0 components=5 center=(-0.234,1.479,-1.878) normal=(-0,1,-0) size=(0.347,0.686)
22:18:25.068 unit team=blue kind=Ring name=蓝方能量机关-1-1 arm=0 ring=1 components=1 center=(-0.226,1.657,-1.871) normal=(-0,1,-0) size=(0.279,0.28)
22:18:25.068 unit team=blue kind=Ring name=蓝方能量机关-1-2 arm=0 ring=2 components=1 center=(-0.226,1.657,-1.87) normal=(-0,1,-0) size=(0.251,0.252)
22:18:25.069 unit team=blue kind=Ring name=蓝方能量机关-1-3 arm=0 ring=3 components=1 center=(-0.226,1.657,-1.871) normal=(-0,1,-0) size=(0.223,0.224)
22:18:25.069 unit team=blue kind=Ring name=蓝方能量机关-1-4 arm=0 ring=4 components=1 center=(-0.226,1.657,-1.87) normal=(-0,1,-0) size=(0.195,0.196)
22:18:25.069 unit team=blue kind=Ring name=蓝方能量机关-1-5 arm=0 ring=5 components=1 center=(-0.226,1.657,-1.87) normal=(-0,1,0) size=(0.168,0.169)
22:18:25.070 unit team=blue kind=Ring name=蓝方能量机关-1-6 arm=0 ring=6 components=1 center=(-0.226,1.657,-1.87) normal=(-0,1,-0) size=(0.139,0.14)
22:18:25.070 unit team=blue kind=Ring name=蓝方能量机关-1-7 arm=0 ring=7 components=1 center=(-0.226,1.657,-1.871) normal=(-0,1,-0) size=(0.111,0.112)
22:18:25.071 unit team=blue kind=Ring name=蓝方能量机关-1-8 arm=0 ring=8 components=1 center=(-0.226,1.657,-1.87) normal=(-0,1,0) size=(0.084,0.084)
22:18:25.071 unit team=blue kind=Ring name=蓝方能量机关-1-9 arm=0 ring=9 components=1 center=(-0.226,1.657,-1.871) normal=(-0,1,-0) size=(0.056,0.056)
